u01	1	525.886	5.075813
u01	2	457.872	5.075813
u01	3	589.332	5.075813
u02	1	376.121	3.121188
u02	2	419.185	3.121188
u02	3	386.772	3.121188
u03	1	500.324	5.222813
u03	2	597.018	5.222813
u03	3	561.003	5.222813
u04	1	454.801	4.606000
u04	2	463.761	4.606000
u04	3	452.949	4.606000
u05	1	468.368	4.769625
u05	2	533.901	4.769625
u05	3	513.649	4.769625
u06	1	984.761	11.865500
u06	2	1071.123	11.865500
u06	3	967.307	11.865500
u07	1	461.072	4.613438
u07	2	501.720	4.613438
u07	3	492.292	4.613438
u08	1	633.194	5.730938
u08	2	532.240	5.730938
u08	3	532.553	5.730938
u09	1	518.843	5.673688
u09	2	582.248	5.673688
u09	3	595.480	5.673688
u10	1	548.075	5.894438
u10	2	545.140	5.894438
u10	3	606.968	5.894438
u11	1	449.250	2.964063
u11	2	480.237	2.964063
u11	3	396.554	2.964063
u12	1	1114.321	13.632563
u12	2	1274.316	13.632563
u12	3	1168.077	13.632563
u13	1	542.716	6.110875
u13	2	668.695	6.110875
u13	3	577.880	6.110875
u14	1	1698.863	22.451563
u14	2	1910.194	22.451563
u14	3	1992.706	22.451563
u15	1	669.794	6.840188
u15	2	585.125	6.840188
u15	3	576.921	6.840188
u16	1	303.866	1.398375
u16	2	272.452	1.398375
u16	3	254.046	1.398375
u17	1	426.483	3.857188
u17	2	440.228	3.857188
u17	3	433.747	3.857188
u18	1	1045.647	11.014750
u18	2	930.256	11.014750
u18	3	928.116	11.014750
u19	1	298.595	1.930563
u19	2	211.242	1.930563
u19	3	318.293	1.930563
u20	1	967.030	11.582938
u20	2	998.637	11.582938
u20	3	1113.054	11.582938
u21	1	547.645	5.970750
u21	2	570.551	5.970750
u21	3	596.244	5.970750
u22	1	275.329	1.409125
u22	2	310.155	1.409125
u22	3	300.251	1.409125
u23	1	1231.410	14.275875
u23	2	1314.054	14.275875
u23	3	1231.086	14.275875
u24	1	361.642	2.640188
u24	2	328.385	2.640188
u24	3	381.023	2.640188
u25	1	915.727	9.421375
u25	2	829.074	9.421375
u25	3	825.481	9.421375
u26	1	442.085	3.041875
u26	2	398.679	3.041875
u26	3	393.740	3.041875
u27	1	1546.196	19.974063
u27	2	1778.161	19.974063
u27	3	1682.522	19.974063
u28	1	367.761	2.500188
u28	2	353.373	2.500188
u28	3	321.594	2.500188
u29	1	870.741	9.715375
u29	2	1111.102	9.715375
u29	3	899.777	9.715375
u30	1	824.500	9.428313
u30	2	1010.019	9.428313
u30	3	974.067	9.428313
u31	1	384.205	2.952125
u31	2	370.492	2.952125
u31	3	387.867	2.952125
u32	1	483.513	4.113063
u32	2	491.584	4.113063
u32	3	452.757	4.113063
u33	1	653.027	8.062000
u33	2	849.902	8.062000
u33	3	806.564	8.062000
u34	1	553.473	6.466813
u34	2	589.838	6.466813
u34	3	651.887	6.466813
u35	1	701.521	6.752500
u35	2	666.481	6.752500
u35	3	683.261	6.752500
u36	1	988.019	8.091938
u36	2	869.883	8.091938
u36	3	787.145	8.091938
u37	1	1502.200	15.139188
u37	2	1375.327	15.139188
u37	3	1469.033	15.139188
u38	1	1021.651	11.865625
u38	2	1097.788	11.865625
u38	3	1021.702	11.865625
u39	1	860.624	8.352750
u39	2	848.384	8.352750
u39	3	931.421	8.352750
u40	1	876.819	9.501500
u40	2	820.566	9.501500
u40	3	1001.895	9.501500
